what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1328978322343
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1328978322343
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1328978322353
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1328978322353
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1328978322353
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1328978322353
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1328978322353
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1328978322363
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1328978322363
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1328978322363
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1328978322363
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1328978322363
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1328978322363
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1328978322393
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1328978322393
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1328978322393
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1328978322393
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1328978322403
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1328978322403
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1328978322403
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1328978322403
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1328978322403
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1328978322403
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1328978322413
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1328978322413
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1328978322413
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1328978322413
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1328978322413
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1328978322423
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1328978322423
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1328978322423
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1328978322423
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1328978322423
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1328978322423
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1328978322433
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1328978322433
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1328978322433
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1328978322433
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1328978322433
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1328978322433
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1328978322453
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1328978322453
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1328978322453
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1328978322473
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1328978322473
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1328978322473
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1328978322473
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1328978322483
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1328978322483
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1328978322483
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1328978322483
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328978322483
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1328978322493
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328978322493
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1328978322493
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1328978322493
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1328978322493
started,bundle,org.eclipse.cdt.make.ui,3.1.0.200606261600,"org.eclipse.cdt.make.ui",1328978322503
os,sysinfo,,,"win32",1328978322513
arch,sysinfo,,,"x86",1328978322513
ws,sysinfo,,,"win32",1328978322513
locale,sysinfo,,,"en_US",1328978322513
processors,sysinfo,,,"2",1328978322513
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328978322513
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1328978322513
java.specification.name,sysinfo,,,"Java Platform API Specification",1328978322513
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328978322513
java.specification.version,sysinfo,,,"1.6",1328978322513
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328978322513
java.version,sysinfo,,,"1.6.0_30",1328978322513
java.vm.info,sysinfo,,,"mixed mode, sharing",1328978322513
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328978322513
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328978322513
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328978322513
java.vm.specification.version,sysinfo,,,"1.0",1328978322513
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328978322513
java.vm.version,sysinfo,,,"20.5-b03",1328978322513
activated,view,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.PackageExplorer",1328978325345
activated,view,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.PackageExplorer",1328978325395
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1328978325455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328978333197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328980559521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328980570619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328980577093
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328980577345
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1328980578611
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1328980578621
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1328980578641
stopped,bundle,org.eclipse.tptp.platform.analysis.codereview.java.rules,4.2.0.v200606131519,"org.eclipse.tptp.platform.analysis.codereview.java.rules",1328980578661
stopped,bundle,org.eclipse.tptp.platform.analysis.codereview.java,4.2.0.v200606131519,"org.eclipse.tptp.platform.analysis.codereview.java",1328980578661
stopped,bundle,org.eclipse.tptp.platform.analysis.core.ui,4.2.0.v200606131519,"org.eclipse.tptp.platform.analysis.core.ui",1328980578681
stopped,bundle,org.eclipse.pde.ui,3.2.0.v20060605,"org.eclipse.pde.ui",1328980578771
stopped,bundle,org.eclipse.ant.ui,3.2.0.v20060531,"org.eclipse.ant.ui",1328980578831
